"homeTeam","awayTeam","homeScore","awayScore","date","gameID","playoff","season","winner","loser","MOV","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo","homeWinPct","awayWinPct","drawPct","expectedWinner","correct"
"Cascades","Lions",26,13,2014-05-18,"2014-05-18-SLC-SEA",FALSE,"2014","Cascades","Lions",13,1303.27013522545,1214.6511635873,1323.1305345387,1194.8831278674,0.746997106354816,0.251826267938167,0.00117662570701638,"Cascades",TRUE
"Royal","Dragons",27,14,2014-05-18,"2014-05-18-ROC-MTL",FALSE,"2014","Royal","Dragons",13,1349.34882137628,1278.67680030893,1370.79795624489,1257.32475661715,0.726979110620895,0.271785039093724,0.00123585028538048,"Royal",TRUE
"Breeze","Phoenix",25,21,2014-05-18,"2014-05-18-PHI-DC",FALSE,"2014","Breeze","Phoenix",4,1464.84182760714,1303.10365433173,1473.52097926076,1294.46868907592,0.818106079160182,0.180967881352849,0.000926039486968899,"Breeze",TRUE
"Union","Radicals",15,14,2014-05-23,"2014-05-23-MAD-CHI",FALSE,"2014","Union","Radicals",1,1483.39638464485,1533.92769724603,1492.31896090023,1525.03681665671,0.569949951791952,0.428522381497637,0.00152766671041071,"Union",TRUE
"Phoenix","Royal",15,23,2014-05-24,"2014-05-24-MTL-PHI",FALSE,"2014","Royal","Phoenix",8,1294.46868907592,1370.79795624489,1259.357262214,1406.01155177349,0.533236415573366,0.465211951283897,0.00155163314273693,"Phoenix",FALSE
"Revolution","Wind Chill",25,26,2014-05-24,"2014-05-24-MIN-CIN",FALSE,"2014","Wind Chill","Revolution",1,1357.90649258382,1357.50155130227,1344.66093502778,1370.7768252863,0.639883746306718,0.358680673560905,0.00143558013237666,"Revolution",FALSE
"Rush","Breeze",27,17,2014-05-24,"2014-05-24-DC-TOR",FALSE,"2014","Rush","Breeze",10,1525.49535624977,1473.52097926076,1546.56378980653,1452.54505639947,0.705102873866982,0.293602243997688,0.00129488213533041,"Rush",TRUE
"Radicals","Union",15,12,2014-05-24,"2014-05-24-CHI-MAD",FALSE,"2014","Radicals","Union",3,1525.03681665671,1492.31896090023,1538.20168998984,1479.2099706435,0.681542090149076,0.317106099828967,0.00135181002195711,"Radicals",TRUE
"Cascades","Riptide",16,21,2014-05-25,"2014-05-25-VAN-SEA",FALSE,"2014","Riptide","Cascades",5,1323.1305345387,1426.21078791461,1296.53058179639,1452.89453814062,0.494787923999407,0.503653352066074,0.0015587239345195,"Riptide",TRUE
"Empire","Royal",26,21,2014-05-25,"2014-05-25-MTL-NY",FALSE,"2014","Empire","Royal",5,1479.60986508164,1406.01155177349,1493.99297380267,1391.69384623636,0.730309719382241,0.268463939125172,0.00122634149258627,"Empire",TRUE
"Mechanix","Wind Chill",18,29,2014-05-25,"2014-05-25-MIN-DET",FALSE,"2014","Wind Chill","Mechanix",11,1211.24229424666,1370.7768252863,1180.26648574525,1401.86580125713,0.414394968687659,0.58409107470495,0.00151395660739084,"Wind Chill",TRUE
"Dragons","Breeze",21,26,2014-05-25,"2014-05-25-DC-ROC",FALSE,"2014","Breeze","Dragons",5,1257.32475661715,1452.54505639947,1237.58868822146,1472.35926377318,0.365574493895356,0.632978124753325,0.0014473813513195,"Breeze",TRUE
"Spiders","Riptide",26,25,2014-05-31,"2014-05-31-VAN-SJ",FALSE,"2014","Spiders","Riptide",1,1534.23608744759,1452.89453814062,1539.6190962741,1447.53629691979,0.738998198772018,0.259800913415295,0.00120088781268685,"Spiders",TRUE
"Lions","Cascades",15,22,2014-05-31,"2014-05-31-SEA-SLC",FALSE,"2014","Cascades","Lions",7,1194.8831278674,1296.53058179639,1163.88570690335,1327.62525375873,0.496849741041185,0.501591447554038,0.00155881140477743,"Cascades",TRUE
"Rush","Royal",25,20,2014-05-31,"2014-05-31-MTL-TOR",FALSE,"2014","Rush","Royal",5,1546.56378980653,1391.69384623636,1556.54568910319,1381.76239755283,0.812148528716693,0.186902030538301,0.000949440745005664,"Rush",TRUE
"Revolution","Radicals",12,29,2014-05-31,"2014-05-31-MAD-CIN",FALSE,"2014","Radicals","Revolution",17,1344.66093502778,1538.20168998984,1312.63067284901,1570.35831570894,0.367819746616503,0.630729156757302,0.00145109662619491,"Radicals",TRUE
"Mechanix","Union",17,31,2014-05-31,"2014-05-31-CHI-DET",FALSE,"2014","Union","Mechanix",14,1180.26648574525,1479.2099706435,1160.52545959827,1499.04460066379,0.240794530525122,0.75806372027907,0.00114174919580801,"Union",TRUE
"FlameThrowers","Riptide",20,16,2014-06-01,"2014-06-01-VAN-SF",FALSE,"2014","FlameThrowers","Riptide",4,1522.94848095607,1447.53629691979,1535.76869816295,1434.77453910111,0.732361294120112,0.266418290129294,0.00122041575059373,"FlameThrowers",TRUE
"Phoenix","Empire",16,27,2014-06-01,"2014-06-01-NY-PHI",FALSE,"2014","Empire","Phoenix",11,1259.357262214,1493.99297380267,1235.75128742568,1517.69993296063,0.314720217304406,0.683933436143863,0.00134634655173138,"Empire",TRUE
"Dragons","Royal",19,22,2014-06-01,"2014-06-01-MTL-ROC",FALSE,"2014","Royal","Dragons",3,1237.58868822146,1381.76239755283,1219.4193736052,1399.99563431849,0.436002459335374,0.562463624007433,0.00153391665719349,"Royal",TRUE
"Riptide","Lions",37,9,2014-06-07,"2014-06-07-SLC-VAN",FALSE,"2014","Riptide","Lions",28,1434.77453910111,1163.88570690335,1445.30855727202,1153.41026355394,0.893964303164306,0.105446081181559,0.000589615654134873,"Riptide",TRUE
"Spiders","FlameThrowers",33,30,2014-06-07,"2014-06-07-SF-SJ",FALSE,"2014","Spiders","FlameThrowers",3,1539.6190962741,1535.76869816295,1554.33689321578,1521.1099889719,0.64444126937232,0.354131263888513,0.00142746673916733,"Spiders",TRUE
"Empire","Royal",24,16,2014-06-07,"2014-06-07-MTL-NY",FALSE,"2014","Empire","Royal",8,1517.69993296063,1399.99563431849,1532.23475267042,1385.53114107617,0.777315264766863,0.221607279089757,0.00107745614337929,"Empire",TRUE
"AlleyCats","Radicals",12,23,2014-06-07,"2014-06-07-MAD-IND",FALSE,"2014","Radicals","AlleyCats",11,1457.66217031125,1570.35831570894,1421.78735276379,1606.34925286682,0.480958567495883,0.517484665799666,0.00155676670445049,"Radicals",TRUE
"Union","Mechanix",26,13,2014-06-07,"2014-06-07-DET-CHI",FALSE,"2014","Union","Mechanix",13,1499.04460066379,1160.52545959827,1504.81871010748,1154.7845875169,0.925614815803759,0.0739570026138515,0.000428181582389359,"Union",TRUE
"Wind Chill","Revolution",30,18,2014-06-07,"2014-06-07-CIN-MIN",FALSE,"2014","Wind Chill","Revolution",12,1401.86580125713,1312.63067284901,1421.11686367655,1293.46922011306,0.7476668530343,0.251158588755047,0.00117455821065238,"Wind Chill",TRUE
"Cascades","Lions",35,11,2014-06-08,"2014-06-08-SLC-SEA",FALSE,"2014","Cascades","Lions",24,1327.62525375873,1153.41026355394,1343.97764918831,1137.14217712889,0.828550734451434,0.170565314511042,0.000883951037523562,"Cascades",TRUE
"Rush","Dragons",38,18,2014-06-08,"2014-06-08-ROC-TOR",FALSE,"2014","Rush","Dragons",20,1556.54568910319,1219.4193736052,1563.2569544662,1212.74671714589,0.925060890268602,0.07450799626558,0.000431113465817853,"Rush",TRUE
"Breeze","Royal",25,24,2014-06-08,"2014-06-08-MTL-DC",FALSE,"2014","Breeze","Royal",1,1472.35926377318,1385.53114107617,1477.61628456333,1380.29850517185,0.745043835588643,0.253773540790906,0.00118262362045102,"Breeze",TRUE
"Radicals","Revolution",28,15,2014-06-08,"2014-06-08-CIN-MAD",FALSE,"2014","Radicals","Revolution",13,1606.34925286682,1293.46922011306,1612.97098665451,1286.88515973225,0.914792735449301,0.084722490011407,0.000484774539292118,"Radicals",TRUE
"Royal","Rush",18,31,2014-06-14,"2014-06-14-TOR-MTL",FALSE,"2014","Rush","Royal",13,1380.29850517185,1563.2569544662,1349.93287290563,1593.73966751754,0.382095127028185,0.616431628579097,0.00147324439271734,"Rush",TRUE
"FlameThrowers","Cascades",23,17,2014-06-14,"2014-06-14-SEA-SF",FALSE,"2014","FlameThrowers","Cascades",6,1521.1099889719,1343.97764918831,1530.85744904599,1334.28058782306,0.830923195539912,0.168202602096085,0.000874202364003096,"FlameThrowers",TRUE
"Dragons","Phoenix",16,17,2014-06-14,"2014-06-14-PHI-ROC",FALSE,"2014","Phoenix","Dragons",1,1212.74671714589,1235.75128742568,1200.14192687537,1248.38684407521,0.608283722548003,0.39023154925297,0.00148472819902701,"Dragons",FALSE
"Breeze","Empire",31,26,2014-06-14,"2014-06-14-NY-DC",FALSE,"2014","Breeze","Empire",5,1477.61628456333,1532.23475267042,1500.99492311655,1508.93832338275,0.564173943009757,0.434293506667632,0.00153255032261179,"Breeze",TRUE
"Radicals","Wind Chill",23,15,2014-06-14,"2014-06-14-MIN-MAD",FALSE,"2014","Radicals","Wind Chill",8,1612.97098665451,1421.11686367655,1623.21710870426,1410.9244527152,0.842497542874519,0.156676815154996,0.000825641970484736,"Radicals",TRUE
"Mechanix","AlleyCats",19,27,2014-06-14,"2014-06-14-IND-DET",FALSE,"2014","AlleyCats","Mechanix",8,1154.7845875169,1421.78735276379,1136.45336822662,1440.20144407318,0.275985540344356,0.722766780567338,0.00124767908830536,"AlleyCats",TRUE
"Spiders","Cascades",24,21,2014-06-15,"2014-06-15-SEA-SJ",FALSE,"2014","Spiders","Cascades",3,1554.33689321578,1334.28058782306,1559.95848269345,1328.68917573512,0.862862881088362,0.136400949844104,0.000736169067534265,"Spiders",TRUE
"Royal","Phoenix",24,19,2014-06-15,"2014-06-15-PHI-MTL",FALSE,"2014","Royal","Phoenix",5,1349.93287290563,1248.38684407521,1362.67377777729,1235.70628232871,0.760800731436839,0.238066379529998,0.00113288903316297,"Royal",TRUE
"Radicals","Union",24,19,2014-06-20,"2014-06-20-CHI-MAD",FALSE,"2014","Radicals","Union",5,1623.21710870426,1504.81871010748,1635.03260330009,1493.06043513653,0.778006114883837,0.220918821628095,0.00107506348806796,"Radicals",TRUE
"Riptide","Spiders",25,37,2014-06-21,"2014-06-21-SJ-VAN",FALSE,"2014","Spiders","Riptide",12,1445.30855727202,1559.95848269345,1408.49100411009,1596.895853494,0.478151560593215,0.520292361232796,0.00155607817398884,"Spiders",TRUE
"Lions","FlameThrowers",22,31,2014-06-21,"2014-06-21-SF-SLC",FALSE,"2014","FlameThrowers","Lions",9,1137.14217712889,1530.85744904599,1126.27162248998,1541.78538470565,0.155266432512637,0.843913982224091,0.000819585263271749,"FlameThrowers",TRUE
"Royal","Phoenix",31,19,2014-06-21,"2014-06-21-PHI-MTL",FALSE,"2014","Royal","Phoenix",12,1362.67377777729,1235.70628232871,1378.94147507336,1219.51821229157,0.786408696250594,0.21254581527376,0.00104548847564628,"Royal",TRUE
"Rush","Empire",21,18,2014-06-21,"2014-06-21-NY-TOR",FALSE,"2014","Rush","Empire",3,1593.73966751754,1508.93832338275,1604.34633213917,1498.38071208081,0.742821304708405,0.255989304544612,0.00118939074698254,"Rush",TRUE
