homeTeam,awayTeam,homeScore,awayScore,date,gameID,playoff,season
Thunderbirds,Mechanix,24,21,6/18/2022,2022-06-18-DET-PIT,FALSE,2022
Radicals,Sol,18,19,6/18/2022,2022-06-18-ATX-MAD,FALSE,2022
Shred,Growlers,23,18,6/24/2022,2022-06-24-SD-SLC,FALSE,2022
Summit,Growlers,27,21,6/25/2022,2022-06-25-SD-COL,FALSE,2022
Cascades,Spiders,17,22,6/25/2022,2022-06-25-OAK-SEA,FALSE,2022
Wind Chill,Radicals,22,11,6/25/2022,2022-06-25-MAD-MIN,FALSE,2022
Sol,Legion,26,20,6/25/2022,2022-06-25-DAL-ATX,FALSE,2022
AlleyCats,Union,23,24,6/25/2022,2022-06-25-CHI-IND,FALSE,2022
Cannons,Flyers,15,23,6/25/2022,2022-06-25-CAR-TB,FALSE,2022
Rush,Glory,25,23,6/25/2022,2022-06-25-BOS-TOR,FALSE,2022
Nitro,Spiders,21,36,6/26/2022,2022-06-26-OAK-POR,FALSE,2022
Empire,Royal,29,14,7/1/2022,2022-07-01-MTL-NY,FALSE,2022
Union,Wind Chill,22,25,7/1/2022,2022-07-01-MIN-CHI,FALSE,2022
Outlaws,Rush,20,21,7/2/2022,2022-07-02-TOR-OTT,FALSE,2022
AlleyCats,Thunderbirds,28,26,7/2/2022,2022-07-02-PIT-IND,FALSE,2022
Glory,Royal,23,16,7/2/2022,2022-07-02-MTL-BOS,FALSE,2022
Mechanix,Wind Chill,19,33,7/2/2022,2022-07-02-MIN-DET,FALSE,2022
Summit,Aviators,24,15,7/2/2022,2022-07-02-LA-COL,FALSE,2022
Phoenix,Breeze,21,22,7/2/2022,2022-07-02-DC-PHI,FALSE,2022
Legion,Sol,16,26,7/2/2022,2022-07-02-ATX-DAL,FALSE,2022
Flyers,Hustle,18,16,7/2/2022,2022-07-02-ATL-CAR,FALSE,2022
Royal,Outlaws,20,23,7/7/2022,2022-07-07-OTT-MTL,FALSE,2022
Cascades,Shred,24,25,7/8/2022,2022-07-08-SLC-SEA,FALSE,2022
Breeze,Phoenix,25,24,7/8/2022,2022-07-08-PHI-DC,FALSE,2022
Legion,Hustle,14,17,7/8/2022,2022-07-08-ATL-DAL,FALSE,2022
Flyers,Cannons,20,11,7/9/2022,2022-07-09-TB-CAR,FALSE,2022
Nitro,Shred,14,28,7/9/2022,2022-07-09-SLC-POR,FALSE,2022
